Denominazione Corpo Idrico;Codice Europeo Corpo Idrico; Codice Regionale Stazione;Tipologia Corpo Idrico;Tipologia Monitoraggio;Stato/Potenziale Ecologico triennio 2021-2023;Stato Chimico triennio 2021-2023
Canale Acque Medie/Rio Martino 1;IT12R12RMA_ACQUEMEDIE1_15AS6T;F2.73;Artificiale;Operativo;Scarso;Buono
Canale Acque Medie/Rio Martino 2;IT12R12RMA_ACQUEMEDIE2_15SS2T;F2.14;Artificiale;Operativo;Scarso;Buono
Canale Acque Medie/Rio Martino 3;IT12R12RMA_ACQUEMEDIE3_15SS3T;F2.15;Artificiale;Nucleo/Operativo;Scarso;Non Buono
Canale Acque Alte/Moscarello 2;IT12R12MOS_ACQUEALTE2_15SS2T;F2.11;Naturale;Operativo;Scarso;Non Buono
Canale Acque Alte/Moscarello 3;IT12R12MOS_ACQUEALTE3_15SS2T;F2.12;Naturale;Nucleo/Operativo;Cattivo;Non Buono
Canale delle Acque Chiare 1;IT12R12FON-ITR_CHIARE1_15SR6T;F2.69 ;Naturale;Sorveglianza;Scarso;Non Buono
Canale Linea Pio 1;IT12R12BAD_LINEAPIO1_15SS2T;F2.16;Artificiale;Operativo;Scarso;Buono
Canale S. Susanna 1;IT12N010_SSUSANNA1_13SS2T;F3.55;Naturale;Operativo;Sufficiente;Buono
Fiume Amaseno 1;IT12R12BAD_AMASENO1_15SR6T;F2.71;Naturale;Sorveglianza;Cattivo;n.d.
Fiume Amaseno 2;IT12R12BAD_AMASENO2_15SS2T;F2.25;Fortemente Modificato;Operativo;Sufficiente;n.d.
Fiume Amaseno 3;IT12R12BAD_AMASENO3_15SS3T;F2.07;Naturale;Nucleo/Operativo;Sufficiente;Non Buono
Fiume Aniene 1;IT12N010_ANIENE1_13SR6T;F4.71;Naturale;Nucleo/Sorveglianza;Buono;Buono
Fiume Aniene 2;IT12N010_ANIENE2_13SS2T;F4.72 ;Naturale;Sorveglianza;Buono;Buono
Fiume Aniene 3;IT12N010_ANIENE3_13SS3T;F4.13;Naturale;Operativo;Buono;Buono
Fiume Aniene 4;IT12N010_ANIENE4_13SS4T;F4.74;Fortemente Modificato;Operativo;Scarso;Buono
Fiume Aniene 5;IT12N010_ANIENE5_14SS4F;F4.64;Fortemente Modificato;Nucleo/Operativo;Scarso;Non Buono
Fiume Arrone 2;IT12R12ARS_FARRONE2_14SS3T;F4.24;Naturale;Operativo;Scarso;Non Buono
Fiume Arrone 3;IT12R12ARS_FARRONE3_14SS3T;F4.23;Naturale;Nucleo/Operativo;Sufficiente;Non Buono
